train_loss	train_EPE	EPE
14.69189891729998	27.554525292052812	21.581458024083886
11.624177286421522	19.748038073680718	18.76382101133159
10.791017114759397	18.36433564425047	17.623828680182484
10.35227864667101	17.659004741292172	17.993255608250948
10.046156664563375	17.129949505811506	17.2318938859813
9.749220871211909	16.636302961798425	16.1298351785411
9.664004517453439	16.450462302037145	15.821423065744222
9.481225096748151	16.133394947367197	16.11992228178465
9.370887585205923	15.930869435305679	15.343041799270315
9.178859487076112	15.62519740564262	15.027932989788274
8.960133645235294	15.288725312110728	14.862718663335665
8.826677845183521	15.073938421715365	14.528813777199053
8.812690368897684	15.035294377053088	14.584957545300098
8.750188427729604	14.936476673042737	14.445976341998277
8.634043584843202	14.749941510417303	14.724543859975016
8.639845433475823	14.732235937812808	14.237154707046614
8.594663080630317	14.65798637011904	13.94977416206552
8.573317384059646	14.623216025133972	14.157621805291427
8.434636388883467	14.398108851733939	14.185274772294871
8.34499666892082	14.266243385171826	13.702071922703793
8.233477091310066	14.093127868451301	14.333934701007346
8.248570239666371	14.096550956801039	13.97771356307669
8.142805268073412	13.946088211107275	13.659329553163298
8.11688906817417	13.89968938320649	14.071697033460953
8.18551789867713	13.987324038953215	14.219039682174438
8.145344279375712	13.929798085586254	13.42464865547023
8.048725611016707	13.784001637740346	13.501885390990932
8.03549759584966	13.757703047237422	13.533259091060822
8.012949848899142	13.721621150638228	13.40644987267815
7.997156392234199	13.69521694583731	13.3755303358868
7.880309083537365	13.511876904639669	13.279609200501605
7.925926161855925	13.563382407031245	13.262176676473029
7.854251036786671	13.464237672295512	13.344312759067702
7.876223136975117	13.49176603882054	13.468553740372647
7.885227469409774	13.494621293722599	13.243344058161197
7.8891117338305765	13.50218394510764	13.233597894664214
7.861365679961968	13.453285895207461	13.24623566895928
7.834916984358767	13.411735669434629	13.292888075263331
7.755634266630567	13.30768679805822	13.217131230160083
7.755061329598403	13.301572715517345	13.138038649657226
7.737288367529968	13.2681116656993	13.214763974816085
7.717335166096315	13.23611100704982	13.111367047569571
7.718114347615483	13.248216470238779	13.045904376468615
7.740029489381763	13.25416608174074	13.049895536654056
7.71198043414342	13.217765592325474	13.115480043249763
7.711446827594166	13.219740190799879	13.117411765790367
